Variety,2022-2023,None,2023-2024,None_1,Percentage (%) changes over previous year
None,"Yield per acre
(Maund)","Yield per
hector
(M. Ton)","Yield per acre
(Maund)","Yield per
hector
(M. Ton)",None
Local,15.59,1.438,16.41,1.514,(+) 5.29%
HYV,30.86,2.846,31.70,2.924,(+) 2.74%
Hybrid,-,-,40.50,3.736,-
Total (Local+ HYV+ Hybrid),29.64,2.734,31.15,2.873,(+) 5.08%
