District/ Division,None,2022-23,None,None,None,None,2023-24,None,None,None,None
,,Area,,Yield Rate,,"Producti
on",Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.Ton)",(M. Ton)
42,Mymensingh,,,,,,45381,18365,39.20,3.616,66403
43,Netrokona,,,,,,41728,16887,39.63,3.655,61728
44,Sherpur,,,,,,14100,5706,38.40,3.542,20211
"Mymensingh
Division",,,,,,,181985,73648,39.12,3.608,265751
45,Bogura,,,,,,19102,7730,38.77,3.576,27644
46,Joypurhat,,,,,,9833,3979,39.20,3.616,14388
47,Naogaon,,,,,,1628,659,40.20,3.708,2443
48,Natore,,,,,,12222,4946,39.35,3.629,17952
49,"Chapai
Nawabganj",,,,,,603,244,40.50,3.736,912
50,Pabna,,,,,,13165,5328,40.00,3.689,19657
51,Rajshahi,,,,,,1072,434,40.20,3.708,1609
52,Sirajganj,,,,,,4211,1704,38.25,3.528,6012
Rajshahi Division,,0,0,0,0,0,61836,25025,39.26,3.621,90617
53,Dinajpur,,,,,,19076,7720,40.20,3.708,28625
54,Gaibandha,,,,,,4960,2007,39.50,3.643,7313
55,Kurigram,,,,,,33879,13711,39.00,3.597,49320
56,Lalmonirhat,,,,,,21632,8754,38.94,3.592,31443
57,Nilphamari,,,,,,57209,23152,39.62,3.654,84607
58,Panchagarh,,,,,,34955,14146,40.00,3.689,52191
59,Rangpur,,,,,,61228,24779,40.00,3.689,91419
60,Thakurgaon,,,,,,14560,5892,39.85,3.676,21658
Rangpur Division,,0,0,0,0,0,247499,100161,39.68,3.660,366576
61,Habiganj,,,,,,48,19,39.15,3.611,70
62,Moulvibazar,,,,,,257,104,39.10,3.606,375
63,Sunamganj,,,,,,317,128,39.50,3.643,467
64,Sylhet,,,,,,336,136,38.27,3.530,480
Sylhet Division,,0,0,0,0,0,958,388,38.94,3.592,1393
Bangladesh,,,,,,,787137,318550,39.58,3.650,1162824
