District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,85.00,85.62,85.63,0.00,0.00,0.00,173.00,170.00,176.00,173.00,170.00,176.00
43,Netrokona,50.00,66.00,65.00,0.00,0.00,0.00,107.64,104.00,184.00,107.64,104.00,184.00
44,Sherpur,15.00,15.00,157.00,0.00,0.00,0.00,36.00,38.00,39.00,36.00,38.00,39.00
Mymensingh Division,,186.00,206.62,350.63,0.00,0.00,0.00,351.64,350.00,432.00,351.64,350.00,432.00
45,Bogura,8.00,8.00,10.00,0.00,0.00,0.00,24.00,28.00,36.00,24.00,28.00,36.00
46,Joypurhat,9.00,11.00,20.00,0.00,0.00,0.00,23.00,31.00,30.00,23.00,31.00,30.00
47,Naogaon,18.00,24.00,9.00,0.00,0.00,0.00,31.00,34.00,23.00,31.00,34.00,23.00
48,Natore,2.00,20.00,21.00,0.00,0.00,0.00,10.00,61.00,60.00,10.00,61.00,60.00
49,Chapai Nawabganj,19.00,21.00,10.00,0.00,0.00,0.00,40.00,45.00,25.00,40.00,45.00,25.00
50,Pabna,17.00,18.00,41.00,0.00,0.00,0.00,128.00,126.00,240.00,128.00,126.00,240.00
51,Rajshahi,51.00,48.00,49.00,0.00,0.00,0.00,110.00,107.00,104.00,110.00,107.00,104.00
52,Sirajganj,26.00,18.00,19.00,0.00,0.00,0.00,130.00,135.00,136.00,130.00,135.00,136.00
Rajshahi Division,,150.00,168.00,179.00,0.00,0.00,0.00,496.00,567.00,654.00,496.00,567.00,654.00
53,Dinajpur,15.00,18.00,18.00,0.00,0.00,0.00,41.00,46.00,67.50,41.00,46.00,67.00
54,Gaibandha,17.00,17.00,17.57,0.00,0.00,0.00,59.00,61.00,62.78,59.00,61.00,62.78
55,Kurigram,7.45,7.84,9.00,0.00,0.00,0.00,52.46,22.96,24.00,52.46,23.00,24.00
56,Lalmonirhat,8.32,6.60,7.72,0.00,0.00,0.00,28.77,23.44,20.60,28.77,23.44,20.00
57,Nilphamari,9.06,11.17,12.62,0.00,0.00,0.00,47.24,51.90,47.87,47.24,51.90,47.00
58,Panchagar,18.55,19.03,20.00,0.00,0.00,0.00,25.74,29.11,30.00,25.74,29.11,30.00
59,Rangpur,6.92,7.19,7.46,0.00,0.00,0.00,52.63,49.00,52.80,52.63,49.00,52.80
60,Thakurgaon,7.94,8.03,8.45,0.00,0.00,0.00,59.63,60.97,63.46,59.63,60.97,63.46
Rangpur Divison,,90.24,94.86,100.82,0.00,0.00,0.00,366.47,344.38,369.01,366.47,344.38,369.01
61,Habiganj,1.20,1.28,2.50,0.00,0.00,0.00,0.97,1.07,1.93,0.97,1.07,1.93
62,Moulvibazar,2.31,0.65,0.68,7.98,0.00,0.00,5.24,5.22,5.29,5.24,5.22,5.29
63,Sunamganj,16.00,17.00,18.00,0.00,0.00,0.00,26.00,29.00,29.40,26.00,29.00,29.40
64,Sylhet,24.10,18.37,19.00,0.00,0.00,0.00,3.56,3.05,4.00,3.56,3.05,4.00
Sylhet Division,,43.61,36.99,40.18,0.00,0.00,0.00,35.77,38.34,40.62,35.77,38.34,40.62
,BANGLADESH,1525.03,1550.62,1746.61,33.45,22.8,21.49,5115.68,5012.13,5816.46,5149.13,5034.93,5837.95
