District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,414,388.00,389.00,0,0.00,0.00,773,800.00,805.53,773,800.00,805.53
43,Netrokona,72,72.00,73.00,0,0.00,0.00,349,347.00,339.52,349,347.00,339.52
44,Sherpur,61,50.00,52.00,0,0.00,0.00,446,286.00,409.03,446,286.00,409.03
Mymensingh Division,,636,575.00,582.00,0,0.00,0.00,1919,1814.00,1972.69,1919,1814.00,1972.69
45,Bogura,235,252.97,200.86,0,0.00,0.00,878,891.73,781.10,878,891.73,781.10
46,Joypurhat,38,38.75,32.02,0,0.00,0.00,264,297.29,290.00,264,297.29,290.00
47,Naogaon,71,53.70,57.91,0,0.00,0.00,398,559.96,610.81,398,559.96,610.81
48,Natore,88,93.48,84.10,0,0.00,0.00,727,911.58,990.68,727,911.58,990.68
49,Chapai Nawabganj,74,75.40,68.88,0,0.00,0.00,221.53,232.12,277.45,221.53,232.12,277.45
50,Pabna,73,39.83,43.54,16,15.08,0.00,302,348.08,430.10,318,363.16,430.10
51,Rajshahi,177,184.00,193.00,0,0.00,0.00,572.45,649.13,699.21,572.45,649.13,699.21
52,Sirajganj,22,22.62,22.72,0,0.00,0.00,315.23,299.00,318.56,315.23,299.00,318.56
Rajshahi Division,,778,760.75,703.03,16,15.08,0.00,3678.21,4188.89,4397.91,3694.21,4203.97,4397.91
53,Dinajpur,48,49.00,50.00,0,0.00,0.00,584,603.00,636.44,584,603.00,636.44
54,Gaibandha,11,11.54,11.80,0,0.00,0.00,100,92.34,95.96,100,92.34,95.96
55,Kurigram,27,27.10,25.16,0,0.00,0.00,160,161.18,184.17,160,161.18,184.17
56,Lalmonirhat,8,9.21,9.55,0,0.00,0.00,5.24,14.23,15.15,5.24,14.23,15.15
57,Nilphamari,6,6.44,6.64,0,0.00,0.00,115,113.33,115.59,115,113.33,115.59
58,Panchagar,18,22.49,23.57,0,0.00,0.00,189.43,199.87,210.84,189.43,199.87,210.84
59,Rangpur,13,13.77,14.85,0,0.00,0.00,123.43,139.56,155.14,123.43,139.56,155.14
60,Thakurgaon,17,16.67,21.56,0,0.00,0.00,112,116.15,117.57,112,116.15,117.57
Rangpur Divison,,1628,1394.38,163.13,0,0.00,0.00,1389.1,1439.66,1530.86,1389.1,1439.66,1530.86
61,Habiganj,1384,1302.00,94.87,39,12.59,8.14,211.37,131.11,83.72,250.37,143.70,91.86
62,Moulvibazar,149,145.41,86.91,0,0.00,0.00,816.22,796.57,725.80,816.22,796.57,725.80
63,Sunamganj,1394,1393.00,47.00,0,0.00,0.00,39,39.00,44.60,39,39.00,44.60
64,Sylhet,402,424.48,64.73,0,0.00,0.00,132.55,142.51,133.08,132.55,142.51,133.08
Sylhet Division,,396,396.81,293.51,39,12.59,8.14,1199.14,1109.19,987.20,1238.14,1121.78,995.34
BANGLADESH,,11737,11261.25,10956.72,4067,3593,3475.72,40208.12,40265.67,41932.65,43801.12,43880.78,45408.37
