District/ Division,None,2022-23,None,None,None,None,2023-24,None,None,None,None
,,Area,,Yield Rate,,"Product
ion",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acre
s
(Maun
d)","Hector
s
(M.
Ton)",(M. Ton)
39,Narail,55771,22570,46.71,4.308,97240,55972,22652,47.10,4.344,98405
40,Satkhira,140901,57022,40.97,3.779,215480,138874,56202,41.25,3.805,213832
Khulna Division,,1064748,430951,45.23,4.171,1797556,1052471,425929,45.76,4.220,1797587
41,Jamalpur,191941,77677,40.62,3.747,291028,192196,77781,42.81,3.949,307126
42,Mymensingh,494550,200142,42.10,3.883,777176,463748,187676,42.44,3.914,734657
43,Netrokona,340292,137714,45.06,4.156,572361,329183,133219,45.13,4.163,554536
44,Sherpur,92024,37242,45.73,4.218,157083,81123,32830,44.25,4.081,133994
"Mymensingh
Division",,1118807,452775,43.04,3.970,1797649,1066250,431505,43.47,4.010,1730313
45,Bogura,419810,169895,44.40,4.095,695766,417925,169132,45.14,4.164,704186
46,Joypurhat,149992,60701,40.22,3.710,225184,154201,62404,41.04,3.785,236223
47,Naogaon,434491,175836,48.93,4.513,793566,438841,177597,48.63,4.485,796597
48,Natore,139347,56393,48.60,4.483,252791,136293,55157,48.80,4.501,248268
49,"Chapai
Nawabganj",121982,49385,49.90,4.601,227208,118509,47960,48.04,4.431,212511
50,Pabna,129864,52555,46.15,4.257,223711,127455,51580,49.36,4.553,234833
51,Rajshahi,150625,60957,48.93,4.513,275106,154334,62458,47.97,4.425,276349
52,Sirajganj,303175,122693,49.13,4.532,555991,302554,122442,50.44,4.652,569646
Rajshahi Division,,1849286,748416,47.07,4.342,3249322,1850112,748730,47.47,4.379,3278614
53,Dinajpur,365839,148053,45.00,4.151,614511,367077,148554,44.49,4.104,609603
54,Gaibandha,205171,83032,42.10,3.883,322423,199682,80810,43.51,4.013,324306
55,Kurigram,147296,59634,44.85,4.135,246593,155671,62999,43.49,4.011,252711
56,Lalmonirhat,50201,20316,43.13,3.978,80820,51532,20855,44.14,4.071,84906
57,Nilphamari,92204,37314,43.25,3.989,148855,89026,36028,43.11,3.976,143259
58,Panchagar,59955,24263,45.78,4.223,102454,58724,23765,46.91,4.327,102827
59,Rangpur,202583,81984,44.65,4.118,337638,201584,81580,45.69,4.214,343799
60,Thakurgaon,122875,49727,41.43,3.821,190023,122910,49741,41.79,3.855,191729
Rangpur Divison,,1246124,504324,43.93,4.052,2043317,1246206,504333,44.14,4.071,2053140
61,Habiganj,179631,72696,44.48,4.103,298245,172044,69625,45.47,4.194,292006
62,Moulvibazar,133784,54142,52.61,4.853,262723,126155,51054,52.71,4.862,248213
63,Sunamganj,395365,160002,47.52,4.383,701297,390564,158059,47.35,4.367,690303
64,Sylhet,165909,67142,37.15,3.427,230068,162056,65583,38.09,3.513,230411
Sylhet Division,,874689,353982,45.71,4.216,1492333,850819,344322,46.00,4.243,1460933
,Bangladesh,8943493,3619599,44.89,4.140,14984750,8863713,3587167,45.21,4.170,14957248
