Variety,2022-23,None,2023-24,None_1,Percentage (%) changes over previous year
None,"Yield per acre
(Maunds)","Yield per
hector
(M. Ton)","Yield per acre
(Maunds)","Yield per
hector
(M. Ton)",None
Broadcast,11.90,1.097,12.57,1.160,(+) 5.74%
Local Transplant (L.T.),17.86,1.647,18.55,1.711,(+) 3.89%
High Yielding Variety (HYV),31.63,2.916,33.39,3.080,(+) 5.62%
Hybrid,-,-,39.58,3.650,-
Total (Broadcast+ L.T.+ HYV+Hybrid),29.22,2.695,31.40,2.896,(+) 7.46%
