District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,66.36,67.55,67.55,0.00,0.00,0.00,20.75,21.75,21.75,20.75,21.75,21.75
2,Barishal,237.83,57.00,57.00,0.00,0.00,0.00,"275.0
0",99.00,99.00,275.00,99.00,99.00
3,Bhola,21.17,21.07,21.07,0.00,0.00,0.00,69.10,61.93,61.93,69.10,61.93,61.93
4,Jhallokati,56.00,54.00,54.00,0.00,0.00,0.00,37.89,10.00,10.00,37.89,10.00,10.00
5,Patuakhali,11.13,11.13,11.13,0.00,0.00,0.00,7.91,6.51,6.51,7.91,6.51,6.51
6,Pirojpur,20.46,21.01,21.01,0.00,0.00,0.00,66.15,67.16,67.16,66.15,67.16,67.16
Barishal Division,,412.95,231.76,231.76,0.00,0.00,0.00,"476.8
0",266.35,316.86,476.80,266.35,316.86
7,Bandarban,183.00,182.56,182.56,6.05,6.06,6.06,90.95,90.62,90.62,97.00,96.68,96.68
8,Brahmanbaria,2.70,2.82,2.82,0.00,0.00,0.00,6.53,6.65,6.65,6.53,6.65,6.65
9,Chandpur,1.65,1.66,1.66,0.00,0.00,0.00,25.73,25.74,25.74,25.73,25.74,25.74
10,Chattogram,38.48,22.20,22.20,0.00,0.00,0.00,210.82,256.74,256.74,210.82,256.74,256.74
11,Cumilla,22.35,22.24,22.24,0.00,0.00,0.00,33.43,33.43,33.43,33.43,33.43,33.43
12,Cox’s Bazar,52.61,40.65,40.65,0.00,0.00,0.00,129.59,140.25,140.25,129.59,140.25,140.25
13,Feni,129.25,129.54,129.54,0.00,0.00,0.00,5.80,7.00,7.00,5.80,7.00,7.00
14,Khagrachari,192.24,190.65,190.65,0.00,0.00,0.00,205.74,197.69,197.69,205.74,197.69,197.69
15,Lakshmipur,13.00,13.16,13.16,0.00,0.00,0.00,34.58,35.21,35.21,34.58,35.21,35.21
16,Noakhali,7.28,7.71,7.71,0.00,0.00,0.00,30.02,28.22,28.22,30.02,28.22,28.22
17,Rangamati,188.46,199.75,199.75,100.13,100.16,100.16,321.56,320.16,320.16,421.69,420.32,420.32
Chattogram Division,,831.02,812.94,812.94,106.18,106.22,1141.71,"1094.
75","1141.7
1","1295.7
0","1200.9
3","1247.9
3","1406.6
9"
18,Dhaka,4.92,6.92,6.92,0.00,0.00,0.00,26.93,24.41,24.41,26.93,24.41,24.41
19,Faridpur,14.00,9.00,9.00,0.00,0.00,0.00,48.94,27.92,27.92,48.94,27.92,27.92
20,Gazipur,78.00,88.00,88.00,0.00,0.00,0.00,107.50,117.30,117.30,107.50,117.30,117.30
21,Gopalganj,10.40,10.22,10.22,0.00,0.00,0.00,17.19,14.71,14.71,17.19,14.71,14.71
22,Kishoreganj,7.68,7.54,7.54,0.00,0.00,0.00,21.04,24.47,24.47,21.04,24.47,24.47
23,Madaripur,8.09,8.05,8.05,0.00,0.00,0.00,45.28,39.03,39.03,45.28,39.03,39.03
24,Manikganj,0.94,0.94,0.94,0.00,0.00,0.00,0.76,0.78,0.78,0.76,0.78,0.78
25,Munshiganj,1.51,1.62,1.62,0.00,0.00,0.00,4.92,4.77,4.77,4.92,4.77,4.77
26,Narayanganj,2.65,2.64,2.64,6.95,6.98,6.98,16.09,15.92,15.92,23.04,22.90,22.90
27,Narsingdi,3.21,3.12,3.12,0.00,0.00,0.00,22.44,25.36,25.36,22.44,25.36,25.36
28,Rajbari,1.70,3.38,3.38,0.00,0.00,0.00,37.90,43.42,43.42,37.90,43.42,43.42
29,Shariatpur,20.04,14.42,14.42,0.00,0.00,0.00,48.05,51.45,51.45,48.05,51.45,51.45
30,Tangail,5.55,5.47,5.47,0.00,0.00,0.00,23.92,22.74,22.74,23.92,22.74,22.74
Dhaka Division,,158.69,161.32,161.32,6.95,6.98,412.28,"420.9
6",412.28,426.88,427.91,419.26,433.81
31,Bagerhat,21.25,24.71,24.71,0.00,0.00,0.00,"119.9
0",114.97,114.97,119.90,114.97,114.97
32,Chuadanga,6.41,6.41,6.41,0.00,0.00,0.00,12.19,11.21,11.21,12.19,11.21,11.21
33,Jashore,3.97,4.29,4.29,0.00,0.00,0.00,51.08,52.70,52.70,51.08,52.70,52.70
34,Jhenaidah,6.55,6.03,6.03,0.00,0.00,0.00,16.21,17.94,17.94,16.21,17.94,17.94
35,Khulna,16.88,18.49,18.49,0.00,0.00,0.00,43.43,45.75,45.75,43.43,45.75,45.75
36,Kushtia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,Magura,3.42,3.75,3.75,0.00,0.00,0.00,11.81,13.09,13.09,11.81,13.09,13.09
38,Meherpur,1.18,2.59,2.59,0.00,0.00,0.00,0.58,1.93,1.93,0.58,1.93,1.93
39,Narail,5.35,17.17,17.17,0.00,0.00,0.00,0.11,2.22,2.22,0.11,2.22,2.22
