Variety,2022-23,None,2023-24,None_1,Percentage changes over previous year
None,"Yield per acre
(Maunds)","Yield per
hector
(M. Ton)","Yield per acre
(Maunds)","Yield per
hector
(M. Ton)",None
Local,20.67,1.906,20.80,1.918,(+) 0.63%
HYV,44.89,4.140,45.21,4.170,(+) 0.72%
Hybrid,51.48,4.748,51.89,4.786,(+) 0.80%
"Total (Local+ HYV+
Hybrid)",46.41,4.280,46.83,4.319,(+) 0.91%
