District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden (M.
Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,2187.43,"2063.0
9","2066.0
0",0,0.00,0.00,3873,3900.90,"74156.3
0",3873,3900.90,3918.00
2,Barishal,1083,164.00,150.00,0,0.00,0.00,1485,724.00,532.00,1485,724.00,532.00
3,Bhola,56.92,55.65,121.00,0,0.00,0.00,510,526.00,563.00,510,526.00,563.00
4,Jhallokati,512.48,517.00,529.00,0,0.00,0.00,518,607.00,645.00,518,607.00,645.00
5,Patuakhali,467.56,129.00,129.00,0,0.00,0.00,2911,2113.00,2175.00,2911,2113.00,2175.00
6,Pirojpur,669.88,669.23,670.00,0,0.00,0.00,1557.05,1555.00,1558.00,"1557.0
5",1555.00,1558.00
Barishal Division,,4977.27,"3597.9
7","3665.0
0",0,0.00,0.00,"10854.0
5",9425.90,9391.00,"10854.
05",9425.90,9391.00
7,Bandarban,132,131.50,131.50,0,0.00,0.00,38,38.20,38.20,38,38.20,38.20
8,Brahmanbaria,66,65.20,65.27,0,0.00,0.00,316,347.30,354.65,316,347.30,354.65
9,Chandpur,239,246.00,250.65,0,0.00,0.00,3357,3597.20,3656.04,3357,3597.20,3656.04
10,Chattogram,163,163.40,167.43,0,0.00,0.00,1700,1691.40,1707.02,1700,1691.40,1707.02
11,Cumilla,1012,"1012.5
0","10313.
00",139.94,140.50,140.66,1742.06,1750.50,1750.34,1882,1891.00,1891.00
12,Cox’s Bazar,7,2.50,7.62,0,0.00,0.00,118,116.10,116.10,118,116.10,116.10
13,Feni,171,173.20,175.19,0,0.00,0.00,329,329.80,439.50,329,329.80,439.50
14,Khagrachari,17,17.00,17.72,0,0.00,0.00,36,41.50,44.96,36,41.50,44.96
15,Lakshmipur,61,61.20,61.70,0,0.00,0.00,1135,1145.90,1159.00,1135,1145.90,1159.00
16,Noakhali,155,165.70,167.54,0,0.00,0.00,2209,2200.50,2238.01,2209,2200.50,2238.01
17,Rangamati,17,16.84,17.15,0,0.00,0.00,48,47.97,52.62,48,47.97,52.62
Chattogram Division,,2040,"2055.0
4","11374.
77",139.94,140.50,140.66,"11028.0
6","11306.3
7","11556.4
4",11168,"11446.8
7","11697.1
0"
18,Dhaka,21.10,19.29,22.32,0,0.00,0.00,200.91,209.19,219.15,200.91,209.19,219.15
19,Faridpur,117.00,119.00,120.00,99.08,98.29,95.39,3044.50,3043.41,3013.81,"3143.5
8",3141.70,3109.20
20,Gazipur,250.00,251.00,214.00,94.57,95.63,96.74,753.43,782.37,785.26,848,878.00,882.00
21,Gopalganj,308.58,340.30,418.65,129.59,136.27,0.00,6705.19,6515.26,5986.10,"6834.7
8",6651.53,5986.10
22,Kishoreganj,36.30,36.96,36.35,0,0.00,0.00,446.18,454.65,455.50,446.18,454.65,455.50
23,Madaripur,181.25,181.62,173.97,0,0.00,0.00,9852.05,8005.52,7196.80,"9852.0
5",8005.52,7196.80
24,Manikganj,45.41,49.23,49.71,0,0.00,0.00,351.11,502.33,476.63,351.11,502.33,476.63
25,Munshiganj,14.33,14.68,17.10,0,0.00,0.00,280.91,283.02,303.61,280.91,283.02,303.61
26,Narayanganj,10.24,10.98,11.03,0,0.00,0.00,119.41,137.13,137.67,119.41,137.13,137.67
27,Narsingdi,42.67,42.74,42.79,0,0.00,0.00,857.79,850.25,801.74,857.79,850.25,801.74
28,Rajbari,67.00,68.00,74.23,0,0.00,0.00,1861.20,2014.36,2079.56,1861.20,2014.36,2079.56
29,Shariatpur,188.20,186.80,184.40,0,0.00,0.00,706.29,818.00,846.50,706.29,818.00,846.50
30,Tangail,255.27,197.69,149.92,40.18,33.48,0.00,1657.80,1672.82,1483.00,1697.98,1706.30,1483.00
Dhaka Division,,1537.35,"1518.2
9","1514.4
7",363.42,363.67,192.13,26836.77,25288.31,23785.33,27200.19,25651.98,23977.46
31,Bagerhat,92.34,102.54,141.03,56.11,0.00,0.00,2745.79,3373.10,3388.06,"2801.9
0",3373.10,3388.06
32,Chuadanga,40.93,41.03,41.31,6.31,6.38,6.55,250.53,254.56,259.19,256.84,260.94,265.74
33,Jashore,196.81,202.89,204.80,65.33,60.65,58.59,1161.47,1137.85,1272.66,"1226.8
0",1198.50,1331.25
34,Jhenaidah,154.93,151.91,154.59,0,0.00,0.00,953.57,951.31,973.93,953.57,951.31,973.93
35,Khulna,148.97,150.98,99.28,16.16,10.13,0.00,2585.24,1550.97,1575.94,"2601.4
0",1561.10,1575.94
36,Kushtia,95.43,97.00,88.00,0,0.00,0.00,1060,1062.00,1256.00,1060,1062.00,1256.00
37,Magura,139.24,140.36,130.79,0,0.00,0.00,841.35,826.15,825.98,841.35,826.15,825.98
