"Sl.
No","Physiographic
Unit",Agro-Ecological Zone (AEZ),None,"Area
excluding
river beds
(acre)","Texture = T
pH = pH
Organic
Matter
Status = 0.m",Land Type,None,None,None,None,None
,,"AEZ
No.",Name,,,High,"Medium
High","Medium
Low",Low,"Very
Low","Home-
stead +
Water"
1,2,3,4,5,6,7,8,9,10,11,12
1.,"Old
Himalayan
Piedmont
Plain",1.,"Old Himalayan Piedmont
Plain",990400,"Type (%)
T :
pH:
0.m:","58
Sandy
loam
4.5-5.5
Low","34
Loamy
4.5-5.5
Low","1
-
-
-","-
-
-
-","-
-
-
-","7
-
-
-"
2.,"Teesta Flood
Plain",2.,Active Teesta Flood Plain,205100,"Type (%)
T :
pH:
0.m:","2
-
-
-","72
Sandy
loam
6.0-6.6
Low","-
-
-
-","-
-
-
-","-
-
-
-","26
-
-
-"
,,3.,"Teesta Meander Flood
Plain",2339595,"Type (%)
T :
pH:
0.m:","35
Loamy
5.4-6.5
Low","51
Loamy
6.0-6.5
Low","4
-
-
-","1
-
-
-","-
-
-
-","9
-
-
-"
3.,"Teesta Flood
Plain",4.,"Karatoya-Bangali Flood
Plain",635555,"Type (%)
T :
pH:
0.m:","23
Silt-loam
5.4-5.7
Low","44
Clayey
5.4-5.7
Low","14
-
-
-","4
-
-
-","1
-
-
-","14
-
-
-"
4.,"Lower Atrai
Basin",5.,"LowerAtrai
Basin",210285,"Type (%)
T :
pH:
0.m:","2
-
-
-","8
-
-
-","21
Clayey
4.8-6.0
Medium","65
Clayey
4.8-6.0
Medium","-
-
-
-","4
-
-
-"
5.,"Lower
Punarbhaba
Flood Plain",6.,"Lower Punarbhaba Flood
Plain",31875,"Type (%)
T :
pH:
0.m:","-
-
-
-","10
-
-
-","60
Clayey
4.5
Medium","-
-
-
-","-
-
-
-","30
-
-
-"
6.,"Brahmaputra
Flood Plain",7.,"Active Brahmaputra-
Jamuna Flood Plain",788265,"Type (%)
T :","5
-","37
Sandy/Silty","20
Silty","8
-","-
-","30
-"
