District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,8321.01,7054.00,6296.00,274.42,266.88,364.32,7500.58,6648.12,8790.68,7775.00,6915.00,9155.00
2,Barishal,6103.00,6680.00,6578.00,1148.10,1075.04,852.59,11617.86,11388.96,12425.41,12765.96,12464.00,13278.00
3,Bhola,1348.47,1331.00,1985.00,316.04,358.31,1143.90,13883.96,15891.59,19044.09,14200.00,16249.90,20187.99
4,Jhallokati,2480.00,2457.00,3308.00,0.00,0.00,0.00,8189.00,4182.00,6368.00,8189.00,4182.00,6368.00
5,Patuakhali,1765.90,1766.00,1766.00,0.00,0.00,0.00,16766.38,16704.64,16561.00,16766.38,16704.64,16561.00
6,Pirojpur,3093.10,3094.00,3094.00,2049.89,2051.59,2057.70,24893.30,24889.41,24917.30,26943.19,26941.00,26975.00
Barishal Division,None,23111.48,22382.00,23027.00,3788.45,3751.82,4418.51,82851.08,79704.72,88106.48,86639.53,83456.54,92524.99
7,Bandarban,133.90,133.89,133.90,290.84,290.83,290.56,533.23,535.46,536.88,824.07,826.29,827.44
8,Brahmanbaria,427.51,426.36,428.41,0.00,0.00,0.00,3843.43,3896.74,3835.69,3843.43,3896.74,3835.69
9,Chandpur,293.08,293.46,293.48,0.00,0.00,0.00,6571.44,6582.40,6578.85,6571.44,6582.40,6578.85
10,Chattogram,5345.80,701.53,980.72,1064.43,944.44,1056.82,7009.65,5706.41,6754.56,8074.08,6650.85,7811.38
11,Cumilla,1240.00,1250.89,1250.89,462.78,469.44,469.44,5557.22,5550.56,5550.56,6020.00,6020.00,6020.00
12,Cox’s Bazar,450.86,416.33,423.12,4220.24,4164.04,4265.32,7023.00,5981.53,6101.08,11243.24,10145.57,10366.40
13,Feni,915.63,910.00,912.00,0.00,0.00,0.00,1987.41,3080.00,4081.00,1987.41,3080.00,4081.00
14,Khagrachari,664.76,675.70,674.03,50.99,50.95,49.89,1633.93,1907.06,1934.58,1684.92,1958.01,1984.47
15,Lakshmipur,627.40,694.40,808.07,1285.15,1968.39,1404.25,12828.25,14762.54,14935.17,14113.40,16730.93,16339.42
16,Noakhali,1616.88,1774.36,2434.31,0.00,0.00,0.00,25476.17,25539.93,26440.45,25476.17,25539.93,26440.45
17,Rangamati,1855.50,1859.80,1928.00,2185.09,2119.66,1844.71,1358.44,1392.33,2785.99,3543.53,3511.99,4630.70
Chattogram Division,None,13571.32,9136.72,10266.93,9559.52,10007.75,9380.99,73822.17,74934.96,79534.81,83381.69,84942.71,88915.80
18,Dhaka,1.84,122.42,122.23,0.00,0.00,0.00,1172.78,2838.73,2672.71,1172.78,2838.73,2672.71
19,Faridpur,549.00,530.00,517.00,265.08,284.02,0.00,4451.76,4532.73,4830.75,4716.84,4816.75,4830.75
20,Gazipur,398.00,409.00,413.00,387.99,389.37,255.30,1171.01,1194.63,1346.70,1559.00,1584.00,1602.00
21,Gopalganj,348.65,349.21,349.69,20.83,20.63,21.02,2275.56,2303.17,2289.26,2296.39,2323.80,2310.28
22,Kishoreganj,297.38,328.78,331.19,347.47,357.92,362.94,7269.33,7416.58,7377.85,7616.80,7774.50,7740.79
23,Madaripur,925.57,927.11,925.07,0.00,0.00,0.00,10803.11,10913.02,11074.39,10803.11,10913.02,11074.39
24,Manikganj,1334.84,1315.09,1272.14,388.17,381.21,355.15,13386.23,13060.29,12133.75,13774.40,13441.50,12488.90
25,Munshiganj,70.82,71.39,73.24,0.00,0.00,0.00,992.62,1018.55,1043.22,992.62,1018.55,1043.22
26,Narayanganj,42.90,42.80,42.81,0.00,0.00,0.00,1670.68,1520.19,1523.03,1670.68,1520.19,1523.00
27,Narsingdi,83.41,84.20,84.86,0.00,0.00,0.00,1484.70,1475.00,1463.90,1484.70,1475.00,1463.90
28,Rajbari,340.15,409.75,409.48,117.84,101.86,98.08,9308.16,9824.96,9553.29,9426.00,9926.82,6951.37
29,Shariatpur,1105.20,802.59,810.30,0.00,0.00,0.00,11116.00,10775.00,11050.00,11116.00,10775.00,11050.00
30,Tangail,321.07,305.86,314.01,82.59,90.02,88.86,5000.71,5472.98,5504.14,5083.30,5563.00,5593.00
Dhaka Division,None,5818.83,5698.20,5665.02,1609.97,1625.03,1181.35,70102.65,72345.83,71862.99,71712.62,73970.86,73044.34
31,Bagerhat,1014.70,1061.21,1101.32,2654.60,2725.58,2080.18,25117.39,25795.52,26491.63,27771.99,28521.10,28571.81
32,Chuadanga,173.84,173.78,168.76,1585.94,1568.87,0.00,2305.06,2299.37,3037.68,3891.00,3868.24,3037.68
33,Jashore,1123.70,991.51,1051.89,4506.99,3547.74,3530.08,8390.00,6747.46,6603.15,12896.99,10295.20,10133.23
34,Jhenaidah,424.89,432.08,433.72,1793.17,1837.69,1751.68,9485.83,9546.11,9199.28,11279.00,11383.80,10950.96
35,Khulna,1518.40,1474.14,1021.20,2518.99,2391.13,2264.26,8122.00,7722.57,8319.64,10640.99,10113.70,10583.90
36,Kushtia,889.00,895.00,875.00,468.42,322.78,360.44,16299.58,16401.62,16647.56,16768.00,16724.40,"17008.0
0"
37,Magura,591.12,571.04,546.50,1050.30,1141.59,1141.71,4296.69,4791.98,4828.05,5346.99,5933.57,5969.76
38,Meherpur,130.60,130.25,129.59,0.00,0.00,0.00,1349.00,1238.81,1126.82,1349.00,1238.81,1126.82
39,Narail,942.55,942.27,942.17,0.00,0.00,0.00,8644.00,8618.10,8468.57,8644.00,8618.10,8468.57
