District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden",None,None,"Production of Outside
Garden",None,None,"Total Production of
Inside & Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,3.00,3.00,3.00,0.00,0.00,0.00,6.00,3.00,4.00,6.00,3.00,4.00
42,Mymensingh,13.00,13.00,14.00,0.00,0.00,0.00,9.00,9.00,10.00,9.00,9.00,10.00
43,Netrokona,0.00,2.40,3.00,0.00,0.00,0.00,0.00,3.00,4.00,0.00,3.00,4.00
44,Sherpur,4.00,4.00,4.00,0.00,0.00,0.00,5.00,5.00,5.00,5.00,5.00,5.00
Mymensingh Division,,20,22.40,24.00,0.00,0.00,0.00,20.00,20.00,23.00,20.00,20.00,23.00
45,Bogura,24.00,24.44,24.41,6.89,5.52,5.58,28.11,23.26,23.60,35.00,28.78,29.18
46,Joypurhat,1.00,1.17,1.18,0.00,0.00,0.00,3.00,2.62,2.59,3.00,2.62,2.59
47,Naogaon,6.00,6.00,6.36,0.00,0.00,0.00,8.00,8.00,8.14,8.00,8.00,10.16
48,Natore,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,Pabna,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Rajshahi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Sirajganj,2.00,1.90,1.98,0.00,0.00,0.00,5.00,4.45,5.37,5.00,4.45,5.37
Rajshahi Division,,33.00,33.51,33.93,6.89,5.52,7.60,44.11,38.33,39.70,51.00,43.85,47.30
53,Dinajpur,31.00,31.00,30.00,2.38,2.38,2.16,73.62,75.62,70.84,76.00,78.00,73.00
54,Gaibandha,2.50,2.55,2.14,0.00,0.00,,6.84,6.422,6.50,6.84,6.422,6.50
55,Kurigram,11.42,11.42,13.00,1.19,1.44,1.47,40.10,37.79,15.52,41.29,39.23,16.99
56,Lalmonirhat,34.24,34.51,35.69,17.04,16.99,17.58,60.40,60.32,61.67,77.44,77.31,79.25
57,Nilphamari,12.81,13.26,14.30,39.46,36.77,34.57,58.68,55.26,53.99,98.14,92.03,88.56
58,Panchagar,120.07,116.25,114.00,16.99,227.462,127.22,200.81,-14.952,81.77,217.80,212.51,208.99
59,Rangpur,8.72,9.40,9.67,0.00,0.00,0.00,34.00,49.00,51.28,34.00,49.00,51.28
60,Tahkurgaon,9.07,9.03,9.78,8.07,8.07,0.00,14.72,14.79,161.51,22.79,22.86,171.21
Rangpur Division,,229.83,227.42,228.58,85.13,293.112,0.00,489.17,284.25,503.08,574.30,577.36,695.78
61,Habigonj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,144.81,144.67,142.85,0.00,0.00,0.00,100.23,117.33,125.91,100.23,117.33,125.91
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,69.04,69.84,70.30,60.34,65.025,64.00,40.08,33.915,34.44,100.42,98.94,98.44
Sylhet Division,,213.85,214.51,213.15,60.34,65.025,64.00,140.31,151.245,160.35,200.65,216.27,224.35
BANGLADESH,,1167.31,1145.02,1137.01,262.84,469.96,370.73,1221.45,1031.27,1779.26,1484.29,"1501.
22","1646.9
1"
