District/ Division,None,2022-2023,None_1,None_2,None_3,None_4,2023-2024,None_5,None_6,None_7,None_8
None,None,Area,None,Yield Rate,None,"Product
ion",Area,None,Yield Rate,None,"Producti
on"
None,None,Acres,Hectors,"Acres
(Maun
d)","Hector
s (M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,110300,44638,17.33,1.598,71351,103420,41854,19.00,1.752,73348
2,Barishal,169477,68586,19.54,1.802,123613,162048,65580,19.81,1.827,119827
3,Bhola,47798,19344,19.28,1.778,34399,18236,7380,19.56,1.804,13315
4,Jhallokati,85524,34611,20.81,1.919,66434,82339,33322,20.88,1.926,64175
5,Patuakhali,207702,84056,14.50,1.337,112418,200899,81303,16.43,1.515,123209
6,Pirojpur,122884,49730,15.13,1.396,69400,117799,47673,17.24,1.590,75806
Barishal Division,None,743685,300965,17.21,1.587,477615,684741,277111,18.38,1.695,469679
7,Bandarban,560,227,18.74,1.729,392,469,190,19.10,1.762,334
8,Brahmanbaria,13098,5301,19.35,1.785,9460,11719,4743,19.66,1.813,8600
9,Chandpur,10690,4326,13.55,1.250,5407,6596,2669,13.77,1.270,3390
10,Chattogram,61269,24795,18.21,1.680,41646,33046,13374,18.46,1.703,22771
11,Cumilla,25006,10120,16.02,1.478,14953,22012,8908,16.20,1.494,13311
12,Cox’s Bazar,8836,3576,17.26,1.592,5693,5608,2270,17.55,1.619,3674
13,Feni,15696,6352,19.00,1.752,11132,11778,4767,19.22,1.773,8450
14,Khagrachari,3730,1510,18.93,1.746,2636,3740,1514,19.28,1.778,2692
15,Lakshmipur,15820,6402,19.57,1.805,11556,13399,5423,19.79,1.825,9898
16,Noakhali,81771,33092,18.14,1.673,55369,76633,31013,18.54,1.710,53034
17,Rangamati,539,218,16.96,1.564,341,516,209,17.25,1.591,332
"Chattogram
Division",None,237015,95919,17.93,1.653,158585,185517,75078,18.27,1.685,126486
18,Dhaka,3822,1547,17.07,1.574,2435,2560,1036,17.42,1.607,1665
19,Faridpur,5070,2052,15.65,1.443,2962,3637,1472,15.79,1.456,2144
20,Gazipur,7914,3203,16.19,1.493,4783,6129,2481,16.26,1.500,3720
21,Gopalganj,8410,3403,16.22,1.496,5092,7545,3053,16.33,1.506,4599
22,Kishoreganj,5855,2369,17.95,1.656,3923,4980,2015,18.35,1.69,3411.09
23,Madaripur,18472,7476,16.25,1.499,11205,14029,5677,16.90,1.559,8850
24,Manikganj,429,174,10.72,0.989,172,317,128,10.67,0.984,126
25,Munshiganj,0,0,0.00,0.000,0,0,0,0.00,0.000,0
26,Narayanganj,1463,592,16.18,1.492,884,1387,562,16.71,1.541,865
27,Narsingdi,13275,5372,16.75,1.545,8300,9513,3850,17.27,1.593,6132
28,Rajbari,1554,629,17.05,1.573,989,1105,447,17.62,1.625,727
29,Shariatpur,9007,3645,19.72,1.819,6630,7562,3060,19.91,1.836,5620
30,Tangail,43885,17760,18.49,1.705,30289,34099,13800,18.45,1.702,23484
Dhaka Division,None,119156,48222,17.46,1.611,77662,92863,37582,17.70,1.632,61343
31,Bagerhat,69871,28276,19.03,1.755,49632,71371,28883,19.25,1.776,51284
32,Chuadanga,0,0,0.00,0.000,0,0,0,0.00,0.000,0
33,Jashore,2301,931,17.25,1.591,1482,1376,557,17.32,1.598,890
34,Jhenaidah,0,0,0.00,0.000,0,0,0,0.00,0.000,0
35,Khulna,46676,18890,22.70,2.094,39550,38938,15758,22.50,2.075,32703
36,Kushtia,1797,727,18.47,1.704,1239,1114,451,18.87,1.740,785
37,Magura,1379,558,20.70,1.909,1066,1048,424,20.87,1.925,816
38,Meherpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
39,Narail,8570,3468,14.93,1.377,4776,8763,3546,15.93,1.469,5211
