District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
40,Satkhira,82.15,86.48,83.66,0.00,0.00,0.00,76.00,76.04,73.75,76.00,76.04,73.75
Khulna Division,,151.86,158.64,177.09,0.00,0.00,0.00,663.00,659.00,671.53,663.00,659.00,671.53
41,Jamalpur,43.00,43.00,44.00,0.00,0.00,0.00,194.00,198.00,203.00,194.00,198.00,203.00
42,Mymensingh,58.00,51.00,62.00,0.00,0.00,0.00,141.00,141.00,142.00,141.00,141.00,142.00
43,Netrokona,23.00,25.00,26.00,0.00,0.00,0.00,182.00,211.00,220.00,182.00,211.00,220.00
44,Sherpur,5.00,4.43,5.00,0.00,0.00,0.00,57.00,34.00,32.00,57.00,34.00,32.00
Mymensingh Division,,362.00,280.75,137.00,0.00,0.00,0.00,574.00,584.00,597.00,574.00,584.00,597.00
45,Bogura,0.00,0.00,0.20,0.00,0.00,0.00,1.00,1.00,0.85,1.00,1.00,0.85
46,Joypurhat,2.00,2.00,2.52,0.00,0.00,0.00,21.00,16.00,17.60,21.00,16.00,17.60
47,Naogaon,1.00,1.00,0.91,0.00,0.00,0.00,0.00,6.00,7.21,0.00,6.00,7.21
48,Natore,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00
49,Chapai Nawabganj,0.00,0.00,0.21,0.00,0.00,0.00,0.00,1.00,0.97,0.00,1.00,0.97
50,Pabna,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00
51,Rajshahi,2.00,3.00,0.00,0.00,0.00,0.00,3.00,3.00,3.94,3.00,3.00,3.94
52,Sirajganj,1.00,1.00,1.03,0.00,0.00,0.00,4.00,4.00,6.70,4.00,4.00,6.70
Rajshahi Division,,182.00,201.68,4.87,0.00,0.00,0.00,31.00,31.00,37.27,31.00,31.00,37.27
53,Dinajpur,0.31,0.31,1,0.00,0.00,0.00,1.80,1.69,4.00,1.80,1.69,4.00
54,Gaibandha,1.41,2.04,2.43,0.00,0.00,0.00,5.88,9.83,12.00,5.88,9.83,12.00
55,Kurigram,2.00,2.20,2.00,0.00,0.00,0.00,41.04,31.51,23.00,41.04,31.51,23.00
56,Lalmonirhat,8.06,8.17,8.4,0.00,0.00,0.00,10.85,11.26,12.00,10.85,11.26,12.00
57,Nilphamari,1.88,2.13,2.63,0.00,0.00,0.00,27.67,27.17,28.00,27.67,27.17,28.00
58,Panchagar,2.13,2.66,4.21,0.00,0.00,0.00,4.65,5.67,11.85,4.65,5.67,11.85
59,Rangpur,3.32,3.77,3.94,0.00,0.00,0.00,64.00,63.46,65.00,64.00,63.46,65.00
60,Thakurgaon,3.88,3.89,4,0.00,0.00,0.00,32.40,34.68,34.00,32.40,34.68,34.00
Rangpur Divison,,386.57,356.49,28.61,0.00,0.00,0.00,188.29,185.27,189.85,188.29,185.27,189.85
61,Habiganj,2.15,4.39,7.31,0.00,0.00,0.00,1.72,5.94,9.42,1.72,5.94,9.42
62,Moulvibazar,10.73,10.79,10.82,0.00,0.00,0.00,67.10,70.46,71.40,67.10,70.46,71.40
63,Sunamganj,257.00,258.00,259.00,0.00,0.00,0.00,231.00,235.00,236.00,231.00,235.00,236.00
64,Sylhet,14.00,22.51,15.00,0.00,14.34,6.75,35.40,56.51,45.13,35.40,70.85,51.88
Sylhet Division,,283.88,295.69,292.13,0.00,14.34,6.75,335.22,367.91,361.95,335.22,382.25,368.70
BANGLADESH,,3376.84,3186.75,2523.39,1187.81,56.39,46.52,9492.17,10154.05,9999.23,10679.98,10210.44,10045.75
