District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden (M.
Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
38,Meherpur,36.14,36.58,37.78,0,0.00,0.00,104.16,109.48,114.29,104.16,109.48,114.29
39,Narail,167.92,167.15,167.27,0,0.00,0.00,621.95,615.69,613.52,621.95,615.69,613.52
40,Satkhira,493.80,485.45,485.95,40.23,42.55,39.71,1276.47,1283.55,1310.84,"1316.7
0",1326.10,1350.55
Khulna Division,,1566.51,1575.89,1550.80,184.14,119.71,104.85,11600.53,11164.66,11590.41,11784.67,11284.37,11695.26
41,Jamalpur,46,48.00,37.00,0,0.00,0.00,507,532.00,190.00,507,532.00,190.00
42,Mymensingh,566,580.00,592.00,0,0.00,0.00,2488,2632.00,2954.00,2488,2632.00,2954.00
43,Netrokona,55,66.00,58.00,0,0.00,0.00,143,175.00,181.00,143,175.00,181.00
44,Sherpur,54,56.00,56.00,0,0.00,0.00,287,291.00,296.00,287,291.00,296.00
Mymensingh Division,,721,750.00,750.00,0,0.00,0.00,3425,3630.00,3621.00,3425,3630.00,3621.00
45,Bogura,224,224.00,217.00,0,0.00,0.00,3397,4829.00,4358.00,3397,4829.00,4358.00
46,Joypurhat,61,61.00,84.00,81.69,0.00,0.00,426.31,505.00,1068.00,508,505.00,1068.00
47,Naogaon,596,136.00,194.00,135.13,0.00,0.00,1769.87,1573.00,1640.00,1905,1573.00,1640.00
48,Natore,193,193.00,246.00,0,0.00,0.00,1385,1413.00,1534.00,1385,1413.00,1534.00
49,Chapai Nawabganj,75,138.00,145.00,0,0.00,0.00,192,214.00,185.00,192,214.00,185.00
50,Pabna,103,149.00,54.00,0,0.00,0.00,1300,812.00,1087.00,1300,812.00,1087.00
51,Rajshahi,305,345.00,374.00,0,0.00,0.00,939,1591.00,1375.00,939,1591.00,1375.00
52,Sirajganj,64,65.00,66.00,0,0.00,0.00,1138,1136.00,1135.00,1138,1136.00,1135.00
Rajshahi Division,,1621,1311.00,1380.00,216.82,0.00,0.00,10547.18,12073.00,12382.00,10764,12073.00,12382.00
53,Dinajpur,57,57.00,58.06,0,0.00,0.00,377,371.66,388.87,377,371.66,388.87
54,Gaibandha,17.36,16.86,17.65,0,0.00,0.00,60.49,61.88,60.87,60.49,61.88,60.87
55,Kurigram,8.42,6.70,6.74,0,0.00,0.00,23.63,30.30,30.79,23.63,30.30,30.79
56,Lalmonirhat,11.44,11.92,12.47,0,0.00,0.00,39.68,44.75,46.69,39.68,44.75,46.69
57,Nilphamari,3,2.55,3.00,0,0.00,0.00,17.63,17.39,17.21,17.63,17.39,17.21
58,Panchagar,2.28,3.44,3.80,0,0.00,0.00,0,0.00,4.65,0,0.00,4.65
59,Rangpur,22.16,21.59,22.07,0,0.00,0.00,404,393.76,409.41,404,393.76,409.41
60,Tahkurgaon,3.32,3.32,3.39,1.32,0.00,0.00,5.56,6.94,12.56,6.88,6.94,12.56
Rangpur Division,,124.98,123.38,127.18,1.32,0.00,0.00,927.99,926.68,971.05,929.31,926.68,971.05
61,Habigonj,32.54,156.66,154.99,0,0.00,0.00,201.85,216.50,225.69,201.85,216.50,225.69
62,Moulvibazar,1.49,0.84,0.90,0,0.00,0.00,20.30,22.40,23.10,20.30,22.40,23.10
63,Sunamganj,86,87.10,87.40,0,0.00,0.00,605.03,618.00,600.00,605.03,618.00,600.00
64,Sylhet,0.20,0.40,0.40,0,0.00,0.00,5,10.16,10.28,5,10.16,10.28
Sylhet Division,,120.23,245.00,243.69,0,0.00,0.00,832.18,867.06,859.07,832.18,867.06,859.07
BANGLADESH,,12708.34,11176.57,20605.91,905.64,623.88,437.64,76051.76,74681.98,,76957.40,75305.86,74593.94
