District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden (Bale)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
15,Lakshmipur,99.87,128.36,120.14,0.00,0.00,0.00,319.48,326.19,326.19,319.48,326.19,326.19
16,Noakhali,30.93,31.16,31.56,0.00,0.00,0.00,148.41,146.89,149.15,148.41,146.89,149.15
17,Rangamati,626.56,620.98,618.00,156.58,87.39,86.77,1296.48,1373.76,1375.86,1453.06,1461.15,1462.63
Chattogram Division,,1135.09,1156.64,1151.28,848.46,785.62,783.26,4849.88,4951.19,5014.83,5698.34,5736.81,5798.09
18,Dhaka,28.54,31.00,34.25,0.00,0.00,0.00,173.47,164.27,159.21,173.47,164.27,159.21
19,Faridpur,100.00,101.00,99.00,0.00,0.00,0.00,706.91,692.31,678.93,706.91,692.31,678.93
20,Gazipur,134.00,134.00,140.00,0.00,0.00,0.00,431.60,404.92,497.95,431.60,404.92,497.95
21,Gopalganj,85.90,89.75,88.84,0.00,0.00,0.00,505.07,380.51,383.05,505.07,380.51,383.05
22,Kishoreganj,111.23,119.51,134.32,0.00,0.00,0.00,805.84,988.41,996.79,805.84,988.41,996.79
23,Madaripur,72.14,71.65,68.98,0.00,0.00,0.00,563.30,492.54,533.66,563.30,492.54,533.66
24,Manikganj,32.17,31.75,33.71,0.00,0.00,0.00,188.10,185.87,189.36,188.10,185.87,189.36
25,Munshiganj,5.98,5.74,5.80,0.00,0.00,0.00,97.30,99.48,102.64,97.30,99.48,102.64
26,Narayanganj,6.97,6.90,6.82,0.00,0.00,0.00,22.42,22.21,22.21,22.42,22.21,22.21
27,Narsingdi,47.87,46.29,48.50,0.00,0.00,0.00,735.10,765.53,753.67,735.10,765.53,753.67
28,Rajbari,141.51,128.41,139.37,64.17,28.51,3.44,343.31,327.93,352.00,407.48,356.44,355.44
29,Shariatpur,98.03,105.68,106.30,0.00,0.00,0.00,724.17,738.42,764.30,724.17,738.42,764.30
30,Tangail,72.39,70.10,69.26,0.00,0.00,0.00,1000.61,1059.72,989.26,1000.61,1059.72,989.26
Dhaka Division,,936.73,941.78,975.15,64.17,28.51,3.44,6297.20,6322.12,6423.03,6361.37,6350.63,6426.47
31,Bagerhat,29.81,44.65,44.52,0.00,0.00,0.00,240.73,257.12,246.78,240.73,257.12,246.78
32,Chuadanga,65.50,65.09,61.27,0.00,0.00,0.00,631.63,596.76,555.93,631.63,596.76,555.93
33,Jashore,176.68,175.58,174.60,0.00,0.00,0.00,942.54,971.20,942.52,942.54,971.20,942.52
34,Jhenaidah,49.63,50.46,50.54,0.00,0.00,0.00,371.61,409.93,396.55,371.61,409.93,396.55
35,Khulna,10.73,11.00,11.25,0.00,0.00,0.00,91.41,92.51,94.15,91.41,92.51,94.15
36,Kushtia,29.00,34.00,40.00,0.00,0.00,0.00,442.80,449.91,275.57,442.80,449.91,275.57
37,Magura,34.39,37.18,37.73,0.00,0.00,0.00,541.16,653.45,673.25,541.16,653.45,673.25
38,Meherpur,41.10,40.78,41.44,0.00,0.00,0.00,158.80,131.15,138.69,158.80,131.15,138.69
39,Narail,309.69,300.17,299.60,0.00,0.00,0.00,774.79,777.34,778.08,774.79,777.34,778.08
40,Satkhira,138.01,139.62,139.22,0.00,0.00,0.00,376.21,363.92,382.60,376.21,363.92,382.60
Khulna Division,,884.54,898.53,900.17,0.00,0.00,0.00,4571.68,4703.29,4484.12,4571.68,4703.29,4484.12
41,Jamalpur,297.00,289.00,287.00,0.00,0.00,0.00,1285.64,1316.01,1287.89,1285.64,1316.01,1287.89
42,Mymensingh,490.00,487.00,488.00,0.00,0.00,0.00,539.68,388.05,427.42,539.68,388.05,427.42
