District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,1628,1394.38,1398.516,0,0.00,0.00,1441,1442.00,1471.20,1441,1442.00,1471.20
2,Barishal,1384,1302.00,1055,974,688.98,634.46,4226,4012.02,4398.54,5200,4701.00,5033.00
3,Bhola,149,145.41,145.49,68,43.95,43.49,701,612.05,605.01,769,656.00,648.50
4,Jhallokati,1394,1393.00,1069,290,621.15,590.06,4334,4548.85,4768.94,4624,5170.00,5359.00
5,Patuakhali,402,424.48,425.785,0,0.00,0.00,491,551.60,530.93,491,551.60,530.93
6,Pirojpur,396,396.81,394.647,1582,1580.43,1566.88,3045,3066.25,3100.12,4627,4646.68,4667.00
Barishal Division,,5353,5056.08,4488.44,2914,2934.51,2834.90,14238,14232.77,14874.73,17152,17167.28,17709.63
7,Bandarban,129,129.80,130.70,38,38.54,38.82,149,149.76,165.98,187,188.30,204.80
8,Brahmanbaria,18,15.38,15.07,0,0.00,0.00,13.44,13.59,15.87,13.44,13.59,15.87
9,Chandpur,44,44.98,32.17,0,0.00,0.00,275,288.20,222.26,275,288.20,222.26
10,Chattogram,109,110.00,108.66,0,0.00,0.00,496,469.68,474.78,496,469.68,474.78
11,Cumilla,343,472.98,490.00,191,189.08,198.36,168,165.92,211.45,359,355.00,409.81
12,Cox’s Bazar,148,112.39,111.22,0,15.90,0.00,377,390.17,454.92,377,406.07,454.92
13,Feni,29,29.85,30.18,0,0.00,0.00,56,58.50,94.50,56,58.50,94.50
14,Khagrachari,132,135.96,137.94,0,0.00,0.00,282,291.89,299.13,282,291.89,299.13
15,Lakshmipur,76,99.00,102.00,0,0.00,0.00,450,474.00,505.00,450,474.00,505.00
16,Noakhali,80,82.64,50.43,0,0.00,0.00,693.23,580.80,598.52,693.23,580.80,598.52
17,Rangamati,137,137.37,139.43,7,7.70,7.56,237,237.05,232.27,244,244.75,239.83
Chattogram Division,,1245,1370.35,1347.80,236,251.22,244.74,3196.67,3119.56,3274.68,3432.67,3370.78,3519.42
18,Dhaka,20,20.14,19.77,0,0.00,0.00,251,255.73,262.75,251,255.73,262.75
19,Faridpur,476,474.00,480.00,0,0.00,0.00,674,668.56,714.41,674,668.56,714.41
20,Gazipur,41,41.85,44.00,26,28.05,0.00,222,237.95,271.00,248,266.00,271.00
21,Gopalganj,55,60.73,61.42,0,0.00,0.00,777,811.70,837.02,777,811.70,837.02
22,Kishoreganj,64,65.94,69.23,0,0.00,0.00,625,605.91,612.22,625,605.91,612.22
23,Madaripur,35,36.15,36.67,0,0.00,0.00,449,355.18,335.29,449,355.18,335.29
24,Manikganj,15,16.80,22.87,0,0.00,0.00,76,78.86,69.42,76,78.86,69.42
25,Munshiganj,18,16.96,20.60,0,0.00,0.00,144,152.10,161.73,144,152.10,161.73
26,Narayanganj,6,10.16,9.25,0,0.00,0.00,137,89.05,88.71,137,89.05,88.71
27,Narsingdi,31,32.26,32.26,0,0.00,0.00,228,229.92,232.00,228,229.92,232.00
28,Rajbari,150,136.47,138.24,0,0.00,0.00,637,585.41,682.32,637,585.41,682.32
29,Shariatpur,80,85.62,84.33,0,0.00,0.00,390,414.40,434.60,390,414.40,434.60
30,Tangail,82,60.25,63.07,0,0.00,0.00,582,612.80,607.10,582,612.80,607.10
Dhaka Division,,1073,1057.33,1081.71,26,28.05,0.00,5192,5097.57,5308.57,5218,5125.62,5308.57
31,Bagerhat,155,248.30,250.76,57,58.78,58.01,1240,1037.13,1022.57,1297,1095.91,1080.58
32,Chuadanga,91,91.80,92.58,0,0.00,0.00,441,446.28,480.71,441,446.28,480.71
33,Jashore,230,203.54,198.93,68,74.72,82.95,1225,1282.28,1391.39,1293,1357.00,1474.34
34,Jhenaidah,124,125.44,126.73,208,213.65,219.18,1250,1254.96,1261.36,1458,1468.61,1480.54
35,Khulna,615,596.92,600.74,29,26.51,27.81,984,905.41,924.32,1013,931.92,952.12
36,Kushtia,65,65.00,116.00,0,0.00,0.00,605,649.00,666.75,605,649.00,666.75
37,Magura,125,121.54,126.00,0,0.00,0.00,1083,1099.49,1090.56,1083,1099.49,1090.56
38,Meherpur,102,111.14,130.40,0,0.00,0.00,196,209.31,298.43,196,209.31,298.43
39,Narail,219,220.47,220.85,0,0.00,0.00,1333,1338.16,1341.34,1333,1338.16,1341.34
40,Satkhira,416,428.50,434.11,0,0.00,0.00,1039,1042.01,1108.60,1039,1042.01,1108.60
Khulna Division,,2142,2212.65,2297.11,362,373.66,387.94,9396,9264.03,9586.02,9758,9637.69,9973.97
41,Jamalpur,89,65.00,68.00,0,0.00,0.00,351,381.00,418.61,351,381.00,418.61
